Time_Window_ms,Level,Bid_Execution_Probability,Ask_Execution_Probability,Probability_Difference_Bid_Ask,Average_Probability
100,1,0.13501813068896618,0.1376452305187597,-0.0026270998297935333,0.13633168060386294
100,2,0.12069858654628876,0.12295567231554799,-0.0022570857692592317,0.12182712943091838
100,3,0.10264190039221491,0.10441796788277954,-0.0017760674905646368,0.10352993413749723
100,4,0.083290165026271,0.08462221564419448,-0.0013320506179234776,0.08395619033523274
100,5,0.06756456745356323,0.06893361947754015,-0.0013690520239769133,0.06824909346555169
100,6,0.055095093613557314,0.05624213720121365,-0.0011470435876563337,0.05566861540738548
100,7,0.04584474210019981,0.04824983349367276,-0.0024050913934729537,0.04704728779693629
100,8,0.03877747354399467,0.041737586028269075,-0.002960112484274406,0.04025752978613187
100,9,0.033042255605713014,0.03600236808998742,-0.002960112484274406,0.03452231184785022
100,10,0.028639088285354844,0.030822171242507215,-0.0021830829571523706,0.02973062976393103
100,11,0.0250129504921187,0.02745504329164508,-0.0024420927995263825,0.02623399689188189
100,12,0.022348849256271737,0.02430992377710353,-0.0019610745208317945,0.023329386516687634
100,13,0.020276770517279656,0.021719825353363427,-0.0014430548360837708,0.02099829793532154
100,14,0.018463701620661584,0.019314733959890477,-0.0008510323392288931,0.018889217790276032
100,15,0.016502627099829793,0.017908680529860135,-0.001406053430030342,0.017205653814844964
100,16,0.014911566639532301,0.016687634130096943,-0.001776067490564642,0.01579960038481462
100,17,0.013394508991341671,0.014948568045585732,-0.0015540590542440606,0.014171538518463702
100,18,0.0119514541552579,0.013801524457929402,-0.0018500703026715012,0.012876489306593651
100,19,0.011063420409975579,0.01228446680973877,-0.0012210463997631912,0.011673943609857174
100,20,0.010138385258639828,0.011211426034189299,-0.001073040775549471,0.010674905646414563
200,1,0.19262637780311667,0.19707335613835045,-0.0044469783352337755,0.19484986697073356
200,2,0.16822500950209046,0.17757506651463323,-0.009350057012542767,0.17290003800836184
200,3,0.14222729000380083,0.15066514633219308,-0.008437856328392251,0.14644621816799697
200,4,0.11558342835423793,0.12314709236031927,-0.0075636640060813415,0.1193652603572786
200,5,0.09372862029646523,0.10098821740782972,-0.007259597111364494,0.09735841885214747
200,6,0.07795515013302927,0.0847586469023185,-0.006803496769289236,0.08135689851767389
200,7,0.06636259977194983,0.07229190421892816,-0.005929304446978326,0.06932725199543899
200,8,0.05606233371341695,0.06195362979855568,-0.005891296085138734,0.059007981755986316
200,9,0.04830862789813759,0.052793614595210946,-0.004484986697073354,0.05055112124667427
200,10,0.0427213987077157,0.04568605093120486,-0.002964652223489163,0.04420372481946028
200,11,0.03633599391866211,0.04097301406309388,-0.004637020144431771,0.038654503990878
200,12,0.03204104903078677,0.03591790193842646,-0.0038768529076396857,0.033979475484606614
200,13,0.027784112504751046,0.03105283162295705,-0.003268719118206004,0.029418472063854048
200,14,0.024857468643101482,0.02717597871531737,-0.002318510072215889,0.026016723679209427
200,15,0.02200684150513113,0.024743443557582668,-0.0027366020524515373,0.023375142531356898
200,16,0.020106423413150894,0.02250095020904599,-0.0023945267958950973,0.02130368681109844
200,17,0.018700114025085517,0.020372481946028125,-0.0016723679209426079,0.01953629798555682
200,18,0.016799695933105284,0.018662105663245915,-0.0018624097301406309,0.0177309007981756
200,19,0.015317369821360699,0.016875712656784492,-0.0015583428354237934,0.016096541239072594
200,20,0.013721018624097301,0.015507411630558724,-0.0017863930064614224,0.014614215127328013
400,1,0.26805759390742134,0.265043036769664,0.0030145571377573344,0.2665503153385427
400,2,0.23664273531395025,0.23608742215699496,0.0005553131569552838,0.2363650787354726
400,3,0.20110269326881122,0.20106302804331444,3.96652254967822e-05,0.20108286065606285
400,4,0.1638570465273095,0.1677839038514934,-0.00392685732418388,0.16582047518940146
400,5,0.1330371663162905,0.13684502796398398,-0.003807861647693478,0.13494109714013724
400,6,0.11038832255761374,0.11165760977351157,-0.0012692872158978213,0.11102296616556265
400,7,0.09174566657411447,0.09452223235889096,-0.0027765657847764885,0.09313394946650272
400,8,0.0759192416008885,0.08075839911149894,-0.0048391575106104395,0.07833882035619372
400,9,0.06532862639324105,0.069652135972393,-0.004323509579151952,0.06749038118281703
400,10,0.05616595930347864,0.05981516004918488,-0.003649200745706238,0.05799055967633176
400,11,0.047915592400142794,0.05176311927333307,-0.003847526873190274,0.04983935583673793
400,12,0.04129149974217603,0.044861370036888656,-0.003569870294712625,0.04307643488953235
400,13,0.0359763595256039,0.038832255761374,-0.0028558962357701015,0.037404307643488954
400,14,0.03157351949545833,0.03391376779976994,-0.0023402483043116137,0.03274364364761413
400,15,0.027924318749752094,0.029986910475586055,-0.0020625917258339614,0.028955614612669073
